email,label
"Facture de soins non réglée : Bonjour, merci de confirmer vos informations immédiatement pour éviter toute interruption.",1
"Sécurité des données patients : Bonjour, veuillez trouver ci-joint le document demandé concernant votre établissement.",0
"Campagne de prévention : Bonjour, veuillez trouver ci-joint le document demandé concernant votre établissement.",0
"Carte e-Santé bloquée : Bonjour, merci de confirmer vos informations immédiatement pour éviter toute interruption.",1
"Modification du tiers payant : Bonjour, merci de confirmer vos informations immédiatement pour éviter toute interruption.",1
"Facture mensuelle mutuelle : Bonjour, veuillez trouver ci-joint le document demandé concernant votre établissement.",0
"Confirmation de RDV médical : Bonjour, veuillez trouver ci-joint le document demandé concernant votre établissement.",0
"Facture mensuelle mutuelle : Bonjour, veuillez trouver ci-joint le document demandé concernant votre établissement.",0
"Centre de sécurité médicale : Bonjour, merci de confirmer vos informations immédiatement pour éviter toute interruption.",1
"Note de service médicale : Bonjour, veuillez trouver ci-joint le document demandé concernant votre établissement.",0
"Mail interne CHU : Bonjour, veuillez trouver ci-joint le document demandé concernant votre établissement.",0
"Invitation conférence santé : Bonjour, veuillez trouver ci-joint le document demandé concernant votre établissement.",0
"Activation urgente Ségur : Bonjour, merci de confirmer vos informations immédiatement pour éviter toute interruption.",1
"Carte e-Santé bloquée : Bonjour, merci de confirmer vos informations immédiatement pour éviter toute interruption.",1
"Rappel consultation : Bonjour, veuillez trouver ci-joint le document demandé concernant votre établissement.",0
"Campagne de prévention : Bonjour, veuillez trouver ci-joint le document demandé concernant votre établissement.",0
"Remboursement santé exceptionnel : Bonjour, merci de confirmer vos informations immédiatement pour éviter toute interruption.",1
"Appel à projet ARS : Bonjour, veuillez trouver ci-joint le document demandé concernant votre établissement.",0
"Nouvelle mutuelle obligatoire : Bonjour, merci de confirmer vos informations immédiatement pour éviter toute interruption.",1
"Mail interne CHU : Bonjour, veuillez trouver ci-joint le document demandé concernant votre établissement.",0
"Centre de sécurité médicale : Bonjour, merci de confirmer vos informations immédiatement pour éviter toute interruption.",1
"Alertes médicales ARS : Bonjour, merci de confirmer vos informations immédiatement pour éviter toute interruption.",1
"Activation urgente Ségur : Bonjour, merci de confirmer vos informations immédiatement pour éviter toute interruption.",1
"Protocole DGS à valider : Bonjour, merci de confirmer vos informations immédiatement pour éviter toute interruption.",1
"Modification du tiers payant : Bonjour, merci de confirmer vos informations immédiatement pour éviter toute interruption.",1
"Covid - mise à jour urgente : Bonjour, merci de confirmer vos informations immédiatement pour éviter toute interruption.",1
"Base de données CNAM : Bonjour, merci de confirmer vos informations immédiatement pour éviter toute interruption.",1
